,Speaker Parts List,QTY p/SPK 1-Tier,QTY p/Cab-16 1-Tier,QTY p/SPK 3-Tier,QTY p/Cab-48 3-Tier*,Vendor link
,,,,,,
,Descripton,,,,,Link
,"Tang Band 2"" Driver (T2-2136SG)****",1,16,3,18,https://www.parts-express.com/Tang-Band-T2-2136SA-2-Full-Range-Speaker-Module-2-3-4-x-2-3-4-264-938
,Molex Dual Row 16CKT Minifit Harness 18AWG 9144mm 30ft*****,-,1,3,-,https://tools.molex.com/molex/custom-cable-creator/digikey
,"2.525"" I.D. X .060"" REX SPEAKER TUBES 6"" Spec#: 47432 ",1,16,3,18,https://www.yazoomills.com/custom-paper-tubes/ **
,18/2AWG CCA Red Black 2 Conductor Bonded Stereo Audio Wire ,0.44***,7.04***,1.32***,63.36***,https://www.amazon.com/gp/product/B0C9V4W3DV
,4.8mm Quick Splice Wire Terminals Female Spade Crimp Connector with Insulated Sleeve,3,48,9,54,https://www.amazon.com/gp/product/B07XN8SZSP
,2.8mm Wire Terminals Connector Quick Splice Female Spade Connect with Insulating Sleeve,1,16,3,18,https://www.amazon.com/gp/product/B07XN8SZSP
,"Black-Oxide Alloy Steel Hex Drive Flat Head Screw 90 Degree Countersink, M3 x 0.50 mm Thread, 20 mm Long",4,64,12,288,https://www.mcmaster.com/91294A136/
,"uxcell Knurled Insert Nuts, 50pcs M3 x 12mm L x 5mm OD",4,64,16,96,https://www.amazon.com/dp/B0CTCSXL8Y
,M3x150mm Fully Threaded Rod 304 Stainless Steel,4,64,12,288,https://www.amazon.com/dp/B0D2MG3PDF
,M3x 12mm Female Brass Thread Hex Standoff Spacer,4,64,12,288,https://www.amazon.com/dp/B0C2P7K8KV
,"Banana Plugs, 4mm Gold Plated Screw Type Bannana Plugs",2,32,6,36,https://www.amazon.com/dp/B0DTYB83M8
,CONN BANANA JACK SOLDER TABS RED,1,16,3,18,https://www.digikey.com/en/products/detail/cinch-connectivity-solutions-johnson/108-0902-001/5929
,CONN BANANA JACK SOLDER TABS Black,1,16,3,18,https://www.digikey.com/en/products/detail/cinch-connectivity-solutions-johnson/108-0903-001/5930
,,,,,,
,,,,,,Notes
,,,,,,* to Make Six of the supporting speaker rings needed for 3-Tier Cab
,,,,,,"** Custom length 6""/ 15.2cm OD 6.4cm  thickness 2mm "
,,,,,,"*** One roll cut into 8"" / 20cm length"
,,,,,,**** Custom made for 8ohm contact https://www.tb-speaker.com link in BOM is 4ohm model
,,,,,,"***** Custom made to amplifier specifications for this application, with specific cable lengths and colour coding"
